seq_name	lmbda	rate_bpp	n_pixels	psnr_db	dec_time_arm_sec	dec_time_ups_sec	dec_time_syn_sec	dec_time_blend_sec	dec_time_warp_sec	dec_time_bpred_sec	dec_time_all_sec
D-RaceHorses_416x240_30p_yuv420_8b	0.02	0.10536858974358974	99840	26.99405357878442	0.00117033	0.00179674	0.00394073	0.0	0.0	0.0	0.00949431
E-FourPeople_1280x720_60p_yuv420_8b	0.0001	0.4601996527777778	921600	44.37892148879708	0.0796051	0.0214855	0.0688853	0.0	0.0	0.0	0.192878
E-FourPeople_1280x720_60p_yuv420_8b	0.0004	0.26776041666666667	921600	41.54554185471223	0.060052	0.0108041	0.0670436	0.0	0.0	0.0	0.145415
E-FourPeople_1280x720_60p_yuv420_8b	0.001	0.17809027777777778	921600	39.348226063210994	0.0362122	0.0156991	0.0670503	0.0	0.0	0.0	0.129296
E-FourPeople_1280x720_60p_yuv420_8b	0.004	0.09509548611111111	921600	35.63066732512183	0.0186109	0.0257221	0.0679561	0.0	0.0	0.0	0.128655
E-FourPeople_1280x720_60p_yuv420_8b	0.02	0.04046006944444445	921600	31.05202411105663	0.00683096	0.0226829	0.0640851	0.0	0.0	0.0	0.108859
E-Johnny_1280x720_60p_yuv420_8b	0.0001	0.32104166666666667	921600	44.70207950495692	0.0622235	0.00975326	0.065148	0.0	0.0	0.0	0.143962
E-Johnny_1280x720_60p_yuv420_8b	0.0004	0.16761284722222222	921600	42.0820989891574	0.0507856	0.017932	0.0686701	0.0	0.0	0.0	0.148602
E-Johnny_1280x720_60p_yuv420_8b	0.001	0.10275173611111112	921600	40.232223994118364	0.0262499	0.0113505	0.0654755	0.0	0.0	0.0	0.115615
E-Johnny_1280x720_60p_yuv420_8b	0.004	0.051111111111111114	921600	37.20959978066678	0.013979	0.0226506	0.0457009	0.0	0.0	0.0	0.0922912
E-Johnny_1280x720_60p_yuv420_8b	0.02	0.025130208333333334	921600	34.06206276898626	0.00458657	0.00925198	0.0466061	0.0	0.0	0.0	0.0679303
E-KristenAndSara_1280x720_60p_yuv420_8b	0.0001	0.3556076388888889	921600	44.99747693475329	0.0580248	0.0102714	0.0694011	0.0	0.0	0.0	0.147367
E-KristenAndSara_1280x720_60p_yuv420_8b	0.0004	0.1916232638888889	921600	42.34617082850811	0.0416172	0.00971012	0.0631427	0.0	0.0	0.0	0.122985
E-KristenAndSara_1280x720_60p_yuv420_8b	0.001	0.12862847222222223	921600	40.452922856996864	0.0350541	0.0162352	0.070585	0.0	0.0	0.0	0.131941
E-KristenAndSara_1280x720_60p_yuv420_8b	0.004	0.07032118055555556	921600	37.06867322915683	0.016034	0.0125572	0.0673998	0.0	0.0	0.0	0.108114
E-KristenAndSara_1280x720_60p_yuv420_8b	0.02	0.03285590277777778	921600	33.03802709298332	0.00763106	0.0204473	0.0473114	0.0	0.0	0.0	0.0894145
F-ArenaOfValor_1920x1080_60p_yuv420_8b	0.0001	0.6751543209876543	2073600	43.122985023311664	0.215679	0.0260723	0.159351	0.0	0.0	0.0	0.417945
F-ArenaOfValor_1920x1080_60p_yuv420_8b	0.0004	0.33976466049382714	2073600	39.5055247355717	0.157358	0.0289128	0.153948	0.0	0.0	0.0	0.370957
F-ArenaOfValor_1920x1080_60p_yuv420_8b	0.001	0.20883873456790122	2073600	37.047800014133	0.118402	0.0281536	0.146132	0.0	0.0	0.0	0.307204
F-ArenaOfValor_1920x1080_60p_yuv420_8b	0.004	0.09908564814814814	2073600	33.70766315294936	0.0529805	0.0398469	0.18236	0.0	0.0	0.0	0.301897
F-ArenaOfValor_1920x1080_60p_yuv420_8b	0.02	0.039641203703703706	2073600	30.13879311894318	0.0267694	0.0341794	0.187195	0.0	0.0	0.0	0.279927
F-BasketballDrillText_832x480_50p_yuv420_8b	0.0001	0.7924078525641025	399360	42.54811369116461	0.0494643	0.00492421	0.0283317	0.0	0.0	0.0	0.087541
F-BasketballDrillText_832x480_50p_yuv420_8b	0.0004	0.38699919871794874	399360	38.77416755383864	0.0370953	0.00795418	0.0298588	0.0	0.0	0.0	0.0838673
F-BasketballDrillText_832x480_50p_yuv420_8b	0.001	0.24088541666666666	399360	36.71000387268652	0.022252	0.00801669	0.0295506	0.0	0.0	0.0	0.0666077
F-BasketballDrillText_832x480_50p_yuv420_8b	0.004	0.12287660256410256	399360	33.762399181370014	0.0131272	0.00556759	0.0282569	0.0	0.0	0.0	0.0517848
F-BasketballDrillText_832x480_50p_yuv420_8b	0.02	0.050220352564102566	399360	29.126554744251134	0.00204571	0.00396789	0.0192988	0.0	0.0	0.0	0.0294529
F-SlideEditing_1280x720_30p_yuv420_8b	0.0001	0.7960763888888889	921600	44.303621741602726	0.105016	0.0197015	0.0664894	0.0	0.0	0.0	0.203422
F-SlideEditing_1280x720_30p_yuv420_8b	0.0004	0.5225520833333334	921600	41.50692097311614	0.0933842	0.015614	0.0730675	0.0	0.0	0.0	0.192719
F-SlideEditing_1280x720_30p_yuv420_8b	0.001	0.43049479166666665	921600	38.662450183521884	0.094995	0.0266676	0.0688893	0.0	0.0	0.0	0.204058
F-SlideEditing_1280x720_30p_yuv420_8b	0.004	0.2899045138888889	921600	33.940804463896775	0.0814807	0.0103757	0.0664218	0.0	0.0	0.0	0.168418
F-SlideEditing_1280x720_30p_yuv420_8b	0.02	0.13118055555555555	921600	27.22440178610206	0.0591501	0.0126922	0.0464603	0.0	0.0	0.0	0.12966
F-SlideShow_1280x720_20p_yuv420_8b	0.0001	0.4544357638888889	921600	46.433723865525124	0.0795512	0.0128669	0.0665574	0.0	0.0	0.0	0.169432
F-SlideShow_1280x720_20p_yuv420_8b	0.0004	0.2686458333333333	921600	42.77287443803452	0.0614876	0.00984815	0.0625921	0.0	0.0	0.0	0.140967
F-SlideShow_1280x720_20p_yuv420_8b	0.001	0.20511284722222223	921600	41.189932315204445	0.0616195	0.00987752	0.0622276	0.0	0.0	0.0	0.140909
F-SlideShow_1280x720_20p_yuv420_8b	0.004	0.13770833333333332	921600	36.91544904522787	0.0528066	0.0190806	0.0836353	0.0	0.0	0.0	0.166814
F-SlideShow_1280x720_20p_yuv420_8b	0.02	0.0759548611111111	921600	30.440362948782393	0.0353812	0.0122187	0.0644946	0.0	0.0	0.0	0.12246
