seq_name	lmbda	rate_bpp	n_pixels	psnr_db	dec_time_arm_sec	dec_time_ups_sec	dec_time_syn_sec	dec_time_warp_sec	dec_time_bpred_sec	dec_time_all_sec
D-BasketballPass_416x240_50p_yuv420_8b	0.0004	0.5032051282051282	99840	38.41688530160388	0.0110393	0.00147225	0.00524414	0.0	0.0	0.0205407
D-BasketballPass_416x240_50p_yuv420_8b	0.001	0.33573717948717946	99840	36.033951426719696	0.0074632	0.000560968	0.005225	0.0	0.0	0.0168178
D-BasketballPass_416x240_50p_yuv420_8b	0.004	0.15713141025641025	99840	32.322139206625124	0.00528477	0.00235093	0.006295	0.0	0.0	0.0172493
D-BasketballPass_416x240_50p_yuv420_8b	0.02	0.05600961538461539	99840	28.08792495564368	0.000891354	0.00221929	0.00593685	0.0	0.0	0.0117496
D-BlowingBubbles_416x240_50p_yuv420_8b	0.0001	1.5667467948717948	99840	40.853471205254124	0.0186893	0.00171248	0.00426169	0.0	0.0	0.0279421
D-BlowingBubbles_416x240_50p_yuv420_8b	0.0004	0.8363782051282052	99840	36.47980718691234	0.0111895	0.000698634	0.00354862	0.0	0.0	0.0183501
D-BlowingBubbles_416x240_50p_yuv420_8b	0.001	0.520673076923077	99840	33.69947811758868	0.0109898	0.00066462	0.00409891	0.0	0.0	0.0185875
D-BlowingBubbles_416x240_50p_yuv420_8b	0.004	0.2266826923076923	99840	29.928104665194724	0.00617978	0.0023563	0.0059437	0.0	0.0	0.017825
D-BlowingBubbles_416x240_50p_yuv420_8b	0.02	0.07323717948717949	99840	26.214807360936344	0.00122097	0.00213163	0.00542311	0.0	0.0	0.0119285
D-RaceHorses_416x240_30p_yuv420_8b	0.0001	1.4415865384615385	99840	42.1206851038857	0.0304818	0.00106357	0.00484135	0.0	0.0	0.0403738
D-RaceHorses_416x240_30p_yuv420_8b	0.0004	0.8197115384615384	99840	37.41597892942656	0.0134749	0.00149696	0.00444162	0.0	0.0	0.0223057
D-RaceHorses_416x240_30p_yuv420_8b	0.001	0.5246794871794872	99840	34.445133840095394	0.0127705	0.00146325	0.00466866	0.0	0.0	0.0224144
D-RaceHorses_416x240_30p_yuv420_8b	0.004	0.23389423076923077	99840	30.556109273001795	0.00532751	0.00162278	0.00592044	0.0	0.0	0.017026
